Year,Month,Tsunami Event Validity,Tsunami Cause Code,Deposits,Country,Location Name,Number of Runups,Earthquake Magnitude,Latitude,Longitude,Maximum Water Height (m),Tsunami Intensity,Total Damage Description,After 1900,Effects of Tsunami,Timeline,Tsunami Cause Code,Factor4,Location
1780,6,4,1,0,RUSSIA,S. KURIL ISLANDS,6,7.5,45.3,151.2,12,3,1,0,-0.325161286,-1.034443495,-0.056262049,0.253958995,1.19829159
1787,3,4,1,1,MEXICO,SAN MARCOS,6,8.3,16.5,-98.5,4,2.5,3,0,0.561585452,-1.007888173,-0.373076735,-0.070432661,-0.763522198
1788,7,4,1,2,USA,"ALASKA PENINSULA, AK",4,8,57,-153,30,4,1,0,0.06751596,-1.050813705,1.009220297,0.716770477,-0.42764448
1792,5,4,5,2,JAPAN,"SHIMABARA BAY, KYUSHU ISLAND",43,6.4,32.75,130.3,55,3,3,0,0.089955945,-0.979071539,3.005224644,-0.498812409,1.054517976
1793,2,4,1,0,JAPAN,W. OFF AOMORI,5,6.9,40.85,139.95,1.8,2,2,0,-0.215072516,-0.766580714,-0.281505556,-0.722650623,1.486035019
1793,2,4,1,1,JAPAN,SANRIKU,8,8.3,38.5,144,4.5,2,3,0,0.628331162,-1.004108963,-0.800036085,-0.249961064,1.078333444
1804,7,4,1,0,JAPAN,NW. HONSHU ISLAND,2,7.3,39.05,139.95,1,1,4,0,0.045968634,-0.911141072,-0.491637798,0.126033235,1.033701922
1806,12,3,1,0,PERU,CENTRAL PERU,1,7.5,-12.1,-77.1,1,0.5,1,0,-0.973118658,-0.916647066,-0.064129299,-0.628565538,-2.116165374
1810,9,4,1,0,JAPAN,NW. HONSHU ISLAND,1,6.6,39.9,139.9,1,0,3,0,-0.622806167,-0.627217936,-0.164369739,0.202552857,1.177198178
1812,12,4,3,0,USA,S. CALIFORNIA,4,7.5,34.2,-119.9,3.4,1.5,2,0,-0.706364975,-0.798417097,1.558187152,1.032119766,-0.847074937
1819,4,4,1,0,CHILE,NORTHERN CHILE,10,8.5,-27,-71.5,4,2,3,0,0.450171173,-0.945330299,-0.956437989,0.103777729,-1.654086252
1820,5,4,1,0,MEXICO,S. MEXICO,1,7.6,17.2,-99.6,4,1.5,3,0,-0.007094382,-0.739150832,-0.166718736,-0.018510491,-0.684486341
1820,12,4,1,0,INDONES,FLORES SEA,7,7.5,-7,119,25,3.5,2,0,-0.278438384,-1.236289133,-0.122794611,1.171237864,-0.515412455
1822,11,4,1,0,CHILE,CENTRAL CHILE,6,8.5,-33,-72,3.6,2,4,0,0.346742927,-1.180494677,-0.83244256,1.184257204,-2.231651752
1833,12,4,1,1,JAPAN,NW. HONSHU ISLAND,27,7.4,38.9,139.15,9,2.5,3,0,-0.011697018,-1.048484821,0.005615453,1.037667996,0.64963077
1835,2,4,1,1,CHILE,CENTRAL CHILE,22,8.2,-36.83,-73.03,24,3,4,0,0.986550749,-1.039667991,-0.71973886,-0.308197366,-1.743909903
1835,7,4,1,0,JAPAN,SANRIKU,4,7.6,37.9,141.9,5,2,3,0,0.026004374,-0.920163292,-0.406898103,0.305609983,0.893015667
1837,11,4,1,1,CHILE,SOUTHERN CHILE,19,8.5,-42.5,-74,6,3,3,0,0.392748387,-1.184038913,-0.679995342,1.215690417,-2.450451345
1841,5,4,1,1,RUSSIA,KAMCHATKA,7,8.4,52,158,15,3,2,0,0.397006724,-1.003746879,-0.346588447,0.378023095,1.157111405
1841,12,3,1,0,INDONES,BANDA SEA,4,6,-4,127.5,1.5,1.5,2,0,-1.055329166,-0.963379955,0.078255149,-1.233176152,-0.522677654
1843,4,4,1,3,JAPAN,SE. HOKKAIDO ISLAND,8,8.4,42,146,4.5,2.5,2,0,0.637822605,-0.877636135,-0.513941374,0.115388037,1.02568634
1849,1,3,1,0,USA TER,"GUAM, MARIANA ISLANDS",7,7.5,14,143.3,6.1,2,3,0,0.260774286,-1.020271429,-0.707909906,-2.434795254,0.152659724
1849,11,4,1,0,CHILE,CENTRAL CHILE,3,7.5,-29.95,-71.37,5,2.5,1,0,-0.653824181,-0.812432172,-0.167718492,0.941526484,-1.875608473
1851,2,3,1,0,TURKEY,"FETIYE, ASIA MINOR",1,7.1,36.5,29,0.6,3,2,0,-0.127862921,-0.975290141,0.032012481,-2.335999685,0.036076487
1852,11,4,1,0,INDONES,BANDA SEA,22,8.3,-5.25,129.75,8,2.5,3,0,0.207459982,-1.126957485,-0.797108358,1.16997989,-0.533755871
1854,12,4,1,1,JAPAN,ENSHUNADA SEA,72,8.3,34,137.9,21,3,4,0,0.756187363,-1.205578652,-0.234341367,1.365953547,0.242755754
1854,12,4,1,0,JAPAN,NANKAIDO,81,8.4,33.1,135,28,2.5,4,0,0.652517782,-1.147637957,-0.273766227,1.434006801,0.17392533
1855,1,3,1,4,NEW ZEA,NORTHERN ISLAND,29,8,-41.25,175,11,3,3,0,1.156046,-1.210295039,-1.134062383,-2.366795865,-0.926981468
1856,2,3,3,0,USA,N. CALIFORNIA,1,5.5,37.5,-122.3,0.6,-1,1,0,-1.441012953,-0.02793153,1.877521786,-3.065068253,-0.166728503
1856,8,4,1,1,JAPAN,SE. HOKKAIDO ISLAND,33,8,40.5,143.5,6,2,2,0,0.106738187,-0.800701045,-0.343460604,0.627783035,0.825417292
1857,5,4,1,0,INDONES,BALI SEA,4,7,-8,115.5,3.4,2,2,0,-0.301292054,-0.685716652,-0.57597605,-0.269495248,0.089675751
1859,7,4,1,0,INDONES,N. MOLUCCAS ISLANDS,5,7.3,0.009,125.5,1,1.5,2,0,-0.347505152,-0.681400216,-0.622923265,0.152551039,0.132136997
1859,10,4,1,0,CHILE,NORTHERN CHILE,1,7.6,-27.35,-70.35,6,2.5,2,0,-0.34134259,-0.854517723,-0.281241326,0.784874257,-1.80895201
1861,2,4,1,0,INDONES,SW. SUMATRA,17,8.5,-1,97.5,7,3,2,0,0.480393638,-0.901820258,-0.984388975,-0.148738858,-0.12955271
1861,10,4,1,0,JAPAN,OFF MIYAGI,4,7.4,38.5,142,3.9,2,2,0,-0.418024016,-0.80191682,-0.15355717,0.743325194,0.784427139
1861,12,4,3,0,GREECE,CORINTH GULF,6,7.3,38.2,22.2,2.1,4,2,0,-0.465349788,-1.064230363,1.522333429,0.980656127,-0.076461405
1864,5,3,1,0,INDONES,NW. IRIAN JAYA,2,7.8,-1,135,3,1.5,3,0,0.104976531,-1.038372521,-0.860405524,-1.721130865,-0.512966385
1865,11,4,1,0,TONGA,TONGA ISLANDS,4,8,-19.5,-173.5,1.25,3,1,0,-0.472635895,-0.828413168,-0.01255918,1.14995048,-2.36519055
1866,2,3,1,0,GREECE,"S. COASTS PELOPONNESUS, GREECE",1,6.8,36,23,8.6,4,3,0,0.12350608,-1.123743201,0.245896344,-2.436487046,-0.009843042
1867,9,4,1,0,GREECE,"PELOPONNESUS, GREECE",24,7.1,36.4,22.2,6,4,2,0,-0.225466144,-0.935157318,0.360092671,0.528752729,0.153297719
1867,12,4,1,1,TAIWAN,E. CHINA SEA,12,7,25.34,121.91,15,2,2,0,-0.47396205,-0.767561533,0.16895142,0.921929969,0.389542435
1868,4,4,1,1,USA,HAWAII,28,7.9,19,-155.5,13.7,3.5,2,0,0.328992804,-0.751685958,0.245649429,0.024982638,-1.045055413
1868,8,4,1,1,CHILE,NORTHERN CHILE,123,8.5,-18.6,-71,18,3.5,4,0,1.205730034,-1.04993691,-0.439474693,0.735636251,-1.789626561
1868,10,3,3,0,USA,N. CALIFORNIA,4,6.8,37.7,-122.1,4.5,0.5,1,0,-1.218382552,-0.537913613,1.883184981,-1.244376494,-1.078603385
1869,8,3,1,0,CHILE,NORTHERN CHILE,3,7.5,-19.6,-70.23,2,1.5,1,0,-0.661207427,-0.795263397,-0.199576471,-1.27220686,-2.06802524
1869,10,3,1,0,UKRAINE,BLACK SEA,2,5.6,44.75,35,1,3,1,0,-1.233984569,-0.833409241,1.003296279,-1.563318887,0.166157396
1872,3,4,1,0,JAPAN,SW. HONSHU ISLAND,12,7.4,34.9,132,3,1,1,0,-0.400778201,-0.376541251,-0.432839459,-0.380205166,1.14532197
1875,3,3,1,0,NEW CAL,"LIFOU ISLAND, LOYALTY ISLANDS",5,8,-20,168.5,4,2.5,3,0,0.399783883,-1.164282982,-1.167761928,-1.975362644,-0.710123312
1876,5,3,1,0,INDONES,CERAM SEA,1,6.8,-3,127.25,0.3,-1,1,0,-0.963452009,-0.353681347,-0.582534421,-2.088457963,-0.181027055
1877,5,4,1,0,CHILE,NORTHERN CHILE,107,8.3,-21.5,-70.5,18,3.5,3,0,0.861414684,-0.883842175,-0.484562731,0.235092524,-1.622147105
1878,1,3,1,2,VANUATU,TANNA ISLAND,1,7.5,-19,168.5,12,3,1,0,0.152314393,-0.948802017,-0.674296266,-2.399992213,-0.390390323
1882,9,4,3,0,PANAMA,SAN BLAS ARCHIPELAGO,3,7.9,10,-79,3,1,3,0,-0.217971496,-0.623404827,0.875622105,0.594491886,-1.090059572
1885,4,3,1,0,INDONES,MOLUCCAS ISLANDS,2,7.3,-2.5,127.5,1.2,0.5,1,0,-0.592573409,-0.582048438,-0.662813278,-2.027010103,-0.314029702
1889,5,3,1,0,PHILIPP,MINDORO ISLAND,1,6.8,13.5,121,0.1,-3,2,0,-0.938001304,-0.084699875,-0.646416636,-2.153208695,0.189992648
1889,9,4,1,1,INDONES,N. MOLUCCAS ISLANDS,7,8,1,126.25,4,2.5,2,0,0.032208055,-0.851707359,-0.620975916,0.746043443,-0.197277044
1893,2,4,1,0,GREECE,SAMOTHRACE,2,6.5,40.5,25.5,1,3,2,0,-0.279412954,-0.506983495,0.203004115,-0.857953672,0.876250547
1894,3,4,1,0,JAPAN,SE. HOKKAIDO ISLAND,20,7.9,42.5,146,4,1.5,2,0,0.086590153,-0.516057105,-0.590633743,-0.216728461,1.192784232
1894,4,4,3,1,GREECE,NORTH EVOIKOS GULF,2,7,38.7,23.1,3,4,3,0,0.167556902,-0.830216234,1.320992466,-0.479463998,0.489878314
1894,7,4,1,0,TURKEY,MARMARA SEA,3,6.7,40.6,28.7,4.5,3,3,0,-0.201729836,-0.720578053,0.277736867,-0.003590092,0.510243582
1895,3,4,1,0,PAPUA N,SOLOMON SEA,6,7.3,-8.4,150.1,6,2,2,0,-0.082547751,-0.581355605,-0.803447164,-0.484020884,0.285107381
1896,6,4,1,4,JAPAN,SANRIKU,72,8.3,39.5,144,38.2,3.8,4,0,1.525715525,-1.039257913,-0.001601353,0.425613233,0.732778357
1897,8,4,1,0,JAPAN,SANRIKU,37,7.7,38,143.7,3.6,1,1,0,-0.441518653,-0.422360359,-0.334348585,0.527034614,0.881887011
1897,9,4,1,0,PHILIPP,SULU SEA,13,8.7,6,122,7,2.5,3,0,0.397583702,-0.990081957,-0.897573992,1.002866216,-0.35206881
1898,4,4,1,0,JAPAN,HONSHU ISLAND,2,7.2,38.6,142,0.1,-3,3,0,-0.481335708,0.113898984,-0.810202162,-0.470853378,1.391009161
1899,1,3,1,0,GREECE,IONIAN SEA,2,6.6,37.2,21.6,1,3,2,0,-0.238715694,-0.744997772,0.206246903,-2.691845978,0.181810552
1899,9,4,1,1,USA,"CAPE YAKATAGA, AK",4,8.2,60,-142,3.1,0,1,0,-0.514518351,-0.200927368,0.351570552,0.915289543,-0.341248257
1899,9,4,3,0,USA,"YAKUTAT BAY, AK",12,8.2,60,-140,60.96,3,3,0,0.150536486,-0.838861837,2.223872214,1.044942552,-0.648798833
